phase,stack,component,metric,unit,min,mean,max
idle,notk8s,containerd,cpu_pct_one_core,% of one CPU,0.0,0.3558736626114722,1.9995890484578795
idle,k8s,containerd,cpu_pct_one_core,% of one CPU,0.0,0.7740900344766602,2.9724258546131437
idle,k3s,containerd,cpu_pct_one_core,% of one CPU,0.0,0.34828248799265055,1.9905028907123201
idle,notk8s,coredns,cpu_pct_one_core,% of one CPU,0.0,0.16546525202918835,0.9933930353077267
idle,k8s,coredns,cpu_pct_one_core,% of one CPU,0.0,0.2580248697698851,1.9817643396229903
idle,k3s,coredns,cpu_pct_one_core,% of one CPU,0.0,0.12439158031550641,0.9952514453561601
idle,notk8s,flanneld,cpu_pct_one_core,% of one CPU,0.0,0.11589236864110197,0.9997945242289398
idle,k8s,flanneld,cpu_pct_one_core,% of one CPU,0.0,0.11653424345547973,1.9812886368063605
idle,k3s,k3s,cpu_pct_one_core,% of one CPU,0.9950730836949123,2.985432583992612,14.919301973045707
idle,notk8s,nodeapiserver,cpu_pct_one_core,% of one CPU,0.0,0.8524967041574637,5.998767145373638
idle,k8s,nodeapiserver,cpu_pct_one_core,% of one CPU,0.9908405480999466,2.913052735618197,12.876207382528133
idle,notk8s,nodecontroller,cpu_pct_one_core,% of one CPU,0.0,0.14070782176503813,0.9997945242289398
idle,k8s,nodecontroller,cpu_pct_one_core,% of one CPU,0.0,0.9321573002480631,3.962577273612721
idle,notk8s,nodelet,cpu_pct_one_core,% of one CPU,0.0,0.06630061398761106,1.9995890484578795
idle,k8s,nodelet,cpu_pct_one_core,% of one CPU,0.0,1.822937163124385,4.954202740499733
idle,notk8s,nodeproxy,cpu_pct_one_core,% of one CPU,0.0,0.0,0.0
idle,k8s,nodeproxy,cpu_pct_one_core,% of one CPU,0.0,0.016650824888888093,0.9907745170238684
idle,notk8s,nodescheduler,cpu_pct_one_core,% of one CPU,0.0,0.04969659676978093,0.9997945242289398
idle,k8s,nodescheduler,cpu_pct_one_core,% of one CPU,0.0,0.5742603737118765,1.9815596082669318
idle,notk8s,nodestore,cpu_pct_one_core,% of one CPU,0.0,0.5793011756655406,3.96676323265814
idle,k8s,nodestore,cpu_pct_one_core,% of one CPU,0.0,1.7477649064116403,2.972154661679481
idle,notk8s,combined,cpu_pct_one_core,% of one CPU,0.0,2.3257341956271973,15.996712387663035
idle,k8s,combined,cpu_pct_one_core,% of one CPU,4.953739768672127,9.155472451705075,21.790504801201454
idle,k3s,combined,cpu_pct_one_core,% of one CPU,0.9951264646665615,3.458106652300769,14.919301973045707
idle,notk8s,containerd,rss_kib,MiB,60.88671875,61.251302083333336,62.13671875
idle,k8s,containerd,rss_kib,MiB,72.80859375,78.0298056722689,89.3046875
idle,k3s,containerd,rss_kib,MiB,171.75,179.207421875,189.296875
idle,notk8s,coredns,rss_kib,MiB,64.59765625,64.60078125,64.72265625
idle,k8s,coredns,rss_kib,MiB,127.83203125,127.93392200630252,128.20703125
idle,k3s,coredns,rss_kib,MiB,62.4140625,62.7296875,62.7890625
idle,notk8s,flanneld,rss_kib,MiB,38.984375,40.491048177083336,41.20703125
idle,k8s,flanneld,rss_kib,MiB,45.515625,46.56144957983193,47.6953125
idle,k3s,k3s,rss_kib,MiB,513.08203125,518.26591796875,520.375
idle,notk8s,nodeapiserver,rss_kib,MiB,230.55859375,236.25546875,237.43359375
idle,k8s,nodeapiserver,rss_kib,MiB,342.22265625,367.9296218487395,381.19921875
idle,notk8s,nodecontroller,rss_kib,MiB,44.90234375,45.02526041666667,45.02734375
idle,k8s,nodecontroller,rss_kib,MiB,120.80859375,120.80859375,120.80859375
idle,notk8s,nodelet,rss_kib,MiB,22.62109375,22.865885416666668,22.99609375
idle,k8s,nodelet,rss_kib,MiB,89.0390625,93.33899028361344,95.52734375
idle,notk8s,nodeproxy,rss_kib,MiB,14.15625,14.15625,14.15625
idle,k8s,nodeproxy,rss_kib,MiB,50.09375,50.29602153361345,50.3984375
idle,notk8s,nodescheduler,rss_kib,MiB,21.5,21.5,21.5
idle,k8s,nodescheduler,rss_kib,MiB,61.328125,61.328125,61.328125
idle,notk8s,nodestore,rss_kib,MiB,20.4453125,20.4453125,20.4453125
idle,k8s,nodestore,rss_kib,MiB,56.76171875,56.868861607142854,57.01171875
idle,notk8s,combined,rss_kib,MiB,518.65234375,526.59130859375,529.625
idle,k8s,combined,rss_kib,MiB,970.546875,1003.0953912815127,1029.76171875
idle,k3s,combined,rss_kib,MiB,747.62109375,760.20302734375,772.21875
idle,notk8s,containerd,pss_kib,MiB,59.392578125,59.965030924479166,60.9580078125
idle,k8s,containerd,pss_kib,MiB,71.6220703125,76.75931427258404,88.0205078125
idle,k3s,containerd,pss_kib,MiB,112.044921875,119.5439453125,129.666015625
idle,notk8s,coredns,pss_kib,MiB,64.84765625,64.87568359375,64.9765625
idle,k8s,coredns,pss_kib,MiB,81.76171875,81.95946034663865,82.17578125
idle,k3s,coredns,pss_kib,MiB,62.79296875,63.026432291666666,63.09375
idle,notk8s,flanneld,pss_kib,MiB,39.2890625,40.81923828125,41.48828125
idle,k8s,flanneld,pss_kib,MiB,45.70703125,46.69718356092437,47.80859375
idle,k3s,k3s,pss_kib,MiB,453.416015625,458.32789713541666,460.384765625
idle,notk8s,nodeapiserver,pss_kib,MiB,219.765625,225.32613932291667,226.4921875
idle,k8s,nodeapiserver,pss_kib,MiB,342.59765625,368.1682970063025,381.36328125
idle,notk8s,nodecontroller,pss_kib,MiB,31.96875,32.22215169270833,32.259765625
idle,k8s,nodecontroller,pss_kib,MiB,121.21875,121.27504595588235,121.3125
idle,notk8s,nodelet,pss_kib,MiB,9.6650390625,9.915616861979167,10.01953125
idle,k8s,nodelet,pss_kib,MiB,86.865234375,91.21545102415966,93.400390625
idle,notk8s,nodeproxy,pss_kib,MiB,4.41015625,4.418741861979167,4.4208984375
idle,k8s,nodeproxy,pss_kib,MiB,50.4375,50.63195903361345,50.734375
idle,notk8s,nodescheduler,pss_kib,MiB,9.23046875,9.317220052083334,9.34375
idle,k8s,nodescheduler,pss_kib,MiB,61.66796875,61.724724264705884,61.75390625
idle,notk8s,nodestore,pss_kib,MiB,10.7724609375,10.7923828125,10.8115234375
idle,k8s,nodestore,pss_kib,MiB,57.2109375,57.40989364495798,57.578125
idle,notk8s,combined,pss_kib,MiB,449.341796875,457.65220540364584,460.7705078125
idle,k8s,combined,pss_kib,MiB,923.0263671875,955.8413291097689,982.5498046875
idle,k3s,combined,pss_kib,MiB,628.60546875,640.8982747395834,652.86328125
load,notk8s,containerd,cpu_pct_one_core,% of one CPU,0.0,0.4795594855133098,3.945983833736506
load,k8s,containerd,cpu_pct_one_core,% of one CPU,0.0,1.1551538642199013,5.9419821181947885
