second,rss_kb,cpu_pct
1,63836,7.00
2,63852,4.00
3,64200,7.00
4,64252,3.00
5,64480,6.00
6,64532,4.00
7,65392,14.00
8,65468,8.00
9,65540,4.00
10,65552,6.00
11,65572,4.00
12,65680,6.00
13,65684,2.00
14,65720,5.00
15,65732,7.00
16,65876,12.00
17,65888,9.00
18,65896,3.00
19,65924,6.00
20,65928,5.00
21,65956,4.00
22,65964,5.00
23,65964,3.00
24,65980,11.00
25,66104,10.00
26,66140,15.00
27,66148,4.00
28,66152,5.00
29,66152,4.00
30,66152,6.00
31,66152,5.00
32,66152,4.00
33,66172,16.00
34,66172,2.00
35,66176,8.00
36,66176,4.00
37,66176,5.00
38,66176,6.00
39,66180,3.00
40,66180,5.00
41,66180,3.00
42,66196,15.00
43,66204,7.00
44,66248,7.00
45,66248,6.00
46,66248,4.00
47,66252,6.00
48,66252,4.00
49,66260,4.00
50,66260,7.00
51,66288,13.00
52,66344,13.00
53,66344,5.00
54,66352,6.00
55,66360,3.00
56,66368,5.00
57,66372,4.00
58,66372,3.00
59,66372,7.00
60,66396,13.00
61,66412,7.00
62,66416,4.00
63,66424,6.00
64,66424,7.00
65,66424,3.00
66,66424,6.00
67,66424,5.00
68,66424,7.00
69,66424,12.00
70,66428,7.00
71,66428,5.00
72,66428,4.00
73,66428,5.00
74,66428,3.00
75,66428,3.00
76,66432,5.00
77,66576,24.00
78,66616,9.00
79,66616,6.00
80,66660,7.00
81,66672,5.00
82,66692,5.00
83,66700,3.00
84,66788,5.00
85,66876,5.00
86,66900,13.00
87,66900,5.00
88,66900,6.00
89,66900,7.00
90,66900,6.00
91,66900,5.00
92,66900,6.00
93,66900,3.00
94,66900,8.00
95,66908,11.00
96,66908,7.00
97,66920,5.00
98,66920,5.00
99,66924,6.00
100,66924,4.00
101,66924,7.00
102,66924,3.00
103,66924,9.00
104,67044,21.00
105,67044,4.00
106,67044,8.00
107,67044,4.00
108,67044,9.00
109,67044,3.00
110,67044,7.00
111,67048,7.00
112,67060,8.00
113,67064,9.00
114,67064,3.00
115,67064,6.00
116,67068,5.00
117,67068,6.00
118,67068,5.00
119,67068,3.00
120,67068,8.00
