second,rss_kb,cpu_pct
1,384740,30.00
2,384748,29.00
3,384748,34.00
4,384768,28.00
5,384768,25.00
6,384772,33.00
7,384772,31.00
8,384780,37.00
9,384784,31.00
10,384784,30.00
11,384784,31.00
12,384788,33.00
13,384800,26.00
14,384820,26.00
15,384832,32.00
16,384856,38.00
17,384856,51.00
18,384856,30.00
19,384896,37.00
20,384924,34.00
21,384924,36.00
22,384976,39.00
23,385000,41.00
24,385000,36.00
25,385076,37.00
26,385076,41.00
27,385076,36.00
28,385088,38.00
29,385088,30.00
30,385108,40.00
31,385108,32.00
32,385132,31.00
33,385152,31.00
34,385208,47.00
35,385228,37.00
36,385228,30.00
37,385232,40.00
38,385248,33.00
39,385268,37.00
40,385280,29.00
41,385280,33.00
42,385280,29.00
43,385280,40.00
44,385300,33.00
45,385300,27.00
46,385308,35.00
47,385320,30.00
48,385320,36.00
49,385352,34.00
50,385364,33.00
51,384540,31.00
52,384576,47.00
53,384576,33.00
54,384592,30.00
55,384624,33.00
56,384636,33.00
57,384636,33.00
58,384684,29.00
59,384696,31.00
60,384728,35.00
61,384776,45.00
62,384804,33.00
63,384808,33.00
64,384820,26.00
65,384824,27.00
66,384860,27.00
67,384888,23.00
68,384944,32.00
69,384968,36.00
70,385040,45.00
71,385048,37.00
72,385076,36.00
73,385076,33.00
74,384388,45.00
75,383992,41.00
76,383992,36.00
77,384012,65.00
78,383848,38.00
79,383852,35.00
80,383852,31.00
81,383852,29.00
82,383852,30.00
83,383856,30.00
84,383856,32.00
85,383856,33.00
86,383860,20.00
87,383880,31.00
88,383880,32.00
89,383884,30.00
90,383884,29.00
91,383884,33.00
92,383884,36.00
93,383888,35.00
94,383888,32.00
95,383940,30.00
96,383940,44.00
97,383944,41.00
98,383944,38.00
99,383944,27.00
100,383944,29.00
101,383952,34.00
102,383964,16.00
103,383964,18.00
104,383964,22.00
105,383964,38.00
106,383964,33.00
107,383964,38.00
108,383964,25.00
109,383964,25.00
110,383964,32.00
111,383964,34.00
112,383968,27.00
113,383968,29.00
114,384052,34.00
115,383968,37.00
116,383968,30.00
117,383968,22.00
118,383968,30.00
119,383968,31.00
120,383968,34.00
