second,rss_kb,cpu_pct
1,357248,31.00
2,357252,41.00
3,357252,33.00
4,357252,28.00
5,357252,35.00
6,357252,37.00
7,357256,45.00
8,357256,32.00
9,357260,36.00
10,357260,33.00
11,357260,34.00
12,357304,31.00
13,357308,29.00
14,357308,32.00
15,357308,42.00
16,357308,40.00
17,357308,35.00
18,357308,34.00
19,357308,17.00
20,357308,10.00
21,357308,22.00
22,357308,28.00
23,357308,35.00
24,357308,46.00
25,357372,31.00
26,357396,38.00
27,357396,48.00
28,357412,27.00
29,357456,33.00
30,357456,37.00
31,357464,28.00
32,357464,24.00
33,357548,43.00
34,357692,49.00
35,357824,39.00
36,357884,36.00
37,358020,34.00
38,358260,38.00
39,358500,41.00
40,358828,31.00
41,359060,36.00
42,359712,42.00
43,360144,38.00
44,360464,19.00
45,360756,35.00
46,360920,27.00
47,361196,36.00
48,361496,34.00
49,361848,35.00
50,362400,44.00
51,362952,46.00
52,363156,28.00
53,363468,33.00
54,364548,41.00
55,364868,26.00
56,364984,37.00
57,365296,36.00
58,365512,37.00
59,366264,45.00
60,366636,41.00
61,366988,40.00
62,367388,39.00
63,367544,37.00
64,367720,35.00
65,367900,33.00
66,368212,31.00
67,368692,40.00
68,369184,36.00
69,369692,45.00
70,370124,38.00
71,370268,30.00
72,370500,36.00
73,370708,35.00
74,370464,39.00
75,370768,38.00
76,371408,44.00
77,372044,45.00
78,372436,39.00
79,373388,84.00
80,373504,44.00
81,373504,41.00
82,373508,36.00
83,373524,36.00
84,373524,35.00
85,373440,40.00
86,373604,44.00
87,373616,41.00
88,373648,37.00
89,373680,35.00
90,373680,34.00
91,373680,37.00
92,373680,36.00
93,373716,38.00
94,373748,35.00
95,373748,43.00
96,373876,35.00
97,373876,36.00
98,373880,33.00
99,373884,35.00
100,373884,36.00
101,373884,38.00
102,373896,39.00
103,374068,45.00
104,374068,40.00
105,374072,33.00
106,374108,42.00
107,374116,38.00
108,374128,39.00
109,374128,35.00
110,374176,44.00
111,374176,33.00
112,374180,45.00
113,374196,37.00
114,374196,37.00
115,374204,31.00
116,374204,36.00
117,374212,13.00
118,374216,19.00
119,374220,36.00
120,374220,32.00
