second,rss_kb,cpu_pct
1,50196,0.00
2,50196,0.00
3,50196,0.00
4,50196,2.00
5,50208,0.00
6,50208,0.00
7,50212,1.00
8,50416,3.00
9,50416,1.00
10,50416,0.00
11,50416,1.00
12,50416,0.00
13,50548,1.00
14,50548,0.00
15,50552,1.00
16,50704,1.00
17,50712,1.00
18,50712,0.00
19,50712,0.00
20,50712,1.00
21,50712,0.00
22,50928,2.00
23,50928,0.00
24,51124,2.00
25,51124,1.00
26,51124,0.00
27,51124,0.00
28,51124,0.00
29,51124,1.00
30,51316,2.00
31,51316,1.00
32,51672,5.00
33,51672,1.00
34,51672,0.00
35,51672,0.00
36,51672,1.00
37,51672,0.00
38,51676,1.00
39,51676,1.00
40,51692,1.00
41,51696,1.00
42,51696,0.00
43,51696,2.00
44,51696,0.00
45,51696,0.00
46,51740,3.00
47,51740,0.00
48,51740,1.00
49,51764,1.00
50,51764,0.00
51,51764,1.00
52,51764,0.00
53,51764,0.00
54,51764,2.00
55,51764,0.00
56,51772,1.00
57,51780,2.00
58,51780,0.00
59,51780,0.00
60,51780,1.00
61,51780,1.00
62,51864,0.00
63,51864,0.00
64,51864,1.00
65,51920,2.00
66,51920,0.00
67,51920,0.00
68,51920,0.00
69,51920,0.00
70,51920,1.00
71,51924,1.00
72,51924,1.00
73,51928,1.00
74,51932,1.00
75,51932,0.00
76,51932,1.00
77,51932,1.00
78,51932,0.00
79,51940,0.00
80,51940,2.00
81,51940,1.00
82,51940,2.00
83,51940,0.00
84,51940,1.00
85,51940,0.00
86,51940,0.00
87,51940,2.00
88,51940,0.00
89,51948,1.00
90,52076,2.00
91,52076,0.00
92,52076,1.00
93,52076,1.00
94,52076,0.00
95,52124,1.00
96,52124,1.00
97,52124,1.00
98,52272,2.00
99,52272,0.00
100,52272,1.00
101,52272,0.00
102,52272,0.00
103,52304,2.00
104,52304,0.00
105,52348,0.00
106,52504,2.00
107,52512,0.00
108,52512,1.00
109,52520,0.00
110,52520,0.00
111,52592,1.00
112,52592,0.00
113,52596,2.00
114,52596,0.00
115,52868,4.00
116,52868,0.00
117,52868,0.00
118,52868,1.00
119,52888,0.00
120,52888,1.00
