second,rss_kb,cpu_pct
1,22716.0,1.0
2,22716.0,3.0
3,22720.0,2.0
4,22720.0,4.0
5,22720.0,2.0
6,22728.0,6.0
7,22728.0,4.0
8,22712.0,6.0
9,22720.0,3.0
10,22724.0,3.0
11,22724.0,3.0
12,22732.0,3.0
13,22736.0,1.0
14,22740.0,6.0
15,22740.0,3.0
16,22768.0,4.0
17,22768.0,3.0
18,22768.0,1.0
19,22768.0,3.0
20,22768.0,3.0
21,22768.0,2.0
22,22772.0,3.0
23,22776.0,3.0
24,22764.0,5.0
25,22768.0,1.0
26,22768.0,5.0
27,22768.0,3.0
28,22768.0,3.0
29,22768.0,1.0
30,22768.0,1.0
31,22768.0,3.0
32,22900.0,8.0
33,22800.0,1.0
34,22800.0,1.0
35,22800.0,2.0
36,22800.0,0.0
37,22800.0,4.0
38,22800.0,2.0
39,22804.0,4.0
40,22804.0,4.0
41,22800.0,2.0
42,22804.0,3.0
43,22804.0,4.0
44,22804.0,2.0
45,22804.0,4.0
46,22804.0,1.0
47,22812.0,5.0
48,22812.0,2.0
49,22816.0,4.0
50,22816.0,4.0
51,22820.0,2.0
52,22824.0,2.0
53,22828.0,2.0
54,22828.0,1.0
55,22828.0,3.0
56,22828.0,2.0
57,22860.0,3.0
58,22860.0,0.0
59,22860.0,3.0
60,22868.0,4.0
61,22868.0,1.0
62,22868.0,2.0
63,22880.0,5.0
64,22880.0,1.0
65,22992.0,5.0
66,22888.0,1.0
67,22888.0,1.0
68,22888.0,6.0
69,22888.0,3.0
70,22888.0,2.0
71,22888.0,1.0
72,22892.0,4.0
73,22892.0,3.0
74,22896.0,3.0
75,22896.0,3.0
76,22896.0,2.0
77,22896.0,1.0
78,22896.0,1.0
79,22896.0,1.0
80,22944.0,7.0
81,22916.0,3.0
82,22948.0,3.0
83,22948.0,3.0
84,22948.0,7.0
85,22948.0,1.0
86,22948.0,0.0
87,22948.0,2.0
88,22952.0,6.0
89,22964.0,3.0
90,22924.0,3.0
91,22924.0,1.0
92,22932.0,5.0
93,22932.0,1.0
94,22932.0,4.0
95,22932.0,2.0
96,22944.0,4.0
97,22948.0,3.0
98,22956.0,4.0
99,22956.0,1.0
100,22960.0,4.0
101,22960.0,2.0
102,22960.0,2.0
103,22968.0,3.0
104,22968.0,2.0
105,22968.0,4.0
106,22968.0,2.0
107,22968.0,2.0
108,22976.0,4.0
109,22976.0,1.0
110,22976.0,1.0
111,22984.0,3.0
112,22984.0,4.0
113,22984.0,3.0
114,22984.0,3.0
115,23020.0,1.0
116,23024.0,4.0
117,23028.0,4.0
118,23028.0,1.0
119,23032.0,2.0
120,23036.0,3.0
