second,rss_kb,cpu_pct
1,431000.0,16.0
2,431488.0,20.0
3,431752.0,15.0
4,432628.0,27.0
5,433028.0,19.0
6,433948.0,24.0
7,434692.0,22.0
8,435764.0,30.0
9,436488.0,26.0
10,436904.0,18.0
11,437492.0,17.0
12,438332.0,22.0
13,438804.0,15.0
14,439864.0,27.0
15,440364.0,19.0
16,441948.0,34.0
17,443144.0,26.0
18,443512.0,16.0
19,444212.0,20.0
20,444584.0,17.0
21,445324.0,22.0
22,446252.0,24.0
23,446764.0,17.0
24,447936.0,27.0
25,448368.0,15.0
26,449196.0,27.0
27,449832.0,19.0
28,450064.0,14.0
29,450860.0,19.0
30,451364.0,17.0
31,452092.0,21.0
32,454456.0,40.0
33,454756.0,13.0
34,455216.0,17.0
35,455788.0,16.0
36,456116.0,14.0
37,456788.0,23.0
38,457116.0,16.0
39,458360.0,52.0
40,458528.0,26.0
41,458572.0,21.0
42,458596.0,19.0
43,458612.0,20.0
44,458616.0,17.0
45,458644.0,22.0
46,458712.0,21.0
47,458796.0,25.0
48,458864.0,20.0
49,458980.0,26.0
50,458996.0,22.0
51,459032.0,18.0
52,459036.0,17.0
53,459068.0,13.0
54,459076.0,15.0
55,459084.0,20.0
56,459092.0,15.0
57,459132.0,25.0
58,459140.0,10.0
59,459164.0,17.0
60,459172.0,20.0
61,459172.0,15.0
62,459264.0,18.0
63,459300.0,20.0
64,459300.0,16.0
65,459468.0,34.0
66,459372.0,18.0
67,459372.0,14.0
68,459408.0,19.0
69,459416.0,18.0
70,459440.0,22.0
71,459448.0,12.0
72,459552.0,25.0
73,459560.0,17.0
74,459592.0,21.0
75,459596.0,18.0
76,459652.0,15.0
77,459652.0,17.0
78,459652.0,16.0
79,459684.0,13.0
80,459756.0,28.0
81,459848.0,22.0
82,459880.0,21.0
83,459880.0,18.0
84,459880.0,23.0
85,459880.0,16.0
86,459880.0,13.0
87,459880.0,18.0
88,459896.0,26.0
89,459920.0,20.0
90,460012.0,23.0
91,460016.0,17.0
92,460056.0,21.0
93,460056.0,16.0
94,460056.0,19.0
95,460112.0,22.0
96,460124.0,24.0
97,460128.0,20.0
98,460284.0,27.0
99,460292.0,14.0
100,460296.0,19.0
101,460308.0,21.0
102,460308.0,15.0
103,460416.0,20.0
104,460416.0,14.0
105,460484.0,20.0
106,460640.0,19.0
107,460648.0,17.0
108,460656.0,20.0
109,460664.0,16.0
110,460684.0,14.0
111,460768.0,19.0
112,460768.0,18.0
113,460772.0,21.0
114,460780.0,27.0
115,461108.0,21.0
116,461116.0,21.0
117,461148.0,18.0
118,461148.0,16.0
119,461176.0,19.0
120,461216.0,17.0
