second,rss_kb,cpu_pct
1,33136,3.00
2,33136,0.00
3,33136,0.00
4,33136,1.00
5,33152,1.00
6,33152,0.00
7,33152,0.00
8,33152,0.00
9,33160,2.00
10,33160,0.00
11,33160,0.00
12,33160,0.00
13,33180,3.00
14,33180,0.00
15,33180,0.00
16,33180,0.00
17,33192,0.00
18,33196,3.00
19,33196,0.00
20,33196,0.00
21,33204,1.00
22,33252,1.00
23,33252,0.00
24,33252,0.00
25,33276,1.00
26,33296,1.00
27,33296,0.00
28,33296,0.00
29,33304,1.00
30,33340,2.00
31,33340,0.00
32,33348,0.00
33,33364,1.00
34,33388,2.00
35,33388,0.00
36,33388,0.00
37,33416,1.00
38,33440,2.00
39,33440,0.00
40,33440,0.00
41,33444,0.00
42,33504,1.00
43,33504,0.00
44,33504,0.00
45,33504,1.00
46,33536,0.00
47,33572,2.00
48,33572,0.00
49,33572,0.00
50,33316,0.00
51,33348,3.00
52,33348,0.00
53,33348,0.00
54,33360,0.00
55,33412,4.00
56,33412,0.00
57,33412,0.00
58,32484,1.00
59,32660,3.00
60,32660,0.00
61,32660,0.00
62,32672,1.00
63,32704,2.00
64,32704,0.00
65,32704,0.00
66,32724,0.00
67,32728,0.00
68,32792,1.00
69,32792,0.00
70,32852,0.00
71,32868,0.00
72,33048,3.00
73,33048,0.00
74,33048,0.00
75,33048,1.00
76,33064,3.00
77,33064,0.00
78,33064,0.00
79,33064,2.00
80,33068,1.00
81,33072,0.00
82,33072,0.00
83,33072,2.00
84,33076,2.00
85,33076,0.00
86,33076,0.00
87,33080,2.00
88,33088,1.00
89,33088,0.00
90,33088,0.00
91,33100,1.00
92,33104,2.00
93,33104,0.00
94,33104,0.00
95,33104,1.00
96,33104,0.00
97,33108,2.00
98,33108,0.00
99,33112,1.00
100,33112,0.00
101,33120,1.00
102,33120,0.00
103,33120,0.00
104,33124,0.00
105,33124,3.00
106,33124,0.00
107,33124,0.00
108,33128,0.00
109,33156,2.00
110,33156,0.00
111,33156,0.00
112,33156,0.00
113,33164,2.00
114,33164,0.00
115,33164,0.00
116,33164,1.00
117,33184,2.00
118,33184,0.00
119,33184,0.00
120,33192,2.00
