second,rss_kb,cpu_pct
1,9868,3.00
2,9864,4.00
3,9872,2.00
4,9876,5.00
5,9876,2.00
6,9928,5.00
7,9928,1.00
8,9932,2.00
9,9932,3.00
10,9932,3.00
11,9932,3.00
12,9932,1.00
13,9936,1.00
14,9940,7.00
15,9940,1.00
16,9948,4.00
17,9948,1.00
18,9944,2.00
19,9944,4.00
20,9948,2.00
21,9952,2.00
22,9952,1.00
23,9952,4.00
24,9960,3.00
25,9960,2.00
26,9960,2.00
27,9952,5.00
28,9952,2.00
29,9952,1.00
30,9964,0.00
31,9964,5.00
32,9992,2.00
33,9984,1.00
34,9988,3.00
35,9988,2.00
36,9992,2.00
37,9992,1.00
38,9992,0.00
39,10000,6.00
40,10004,4.00
41,10004,1.00
42,10004,2.00
43,10008,3.00
44,10008,2.00
45,10008,3.00
46,10008,2.00
47,10012,5.00
48,10012,2.00
49,10012,2.00
50,10016,3.00
51,10020,2.00
52,10020,3.00
53,10020,1.00
54,10024,3.00
55,10024,3.00
56,10024,1.00
57,10028,4.00
58,10028,0.00
59,10028,3.00
60,10028,1.00
61,10032,3.00
62,10032,2.00
63,10040,1.00
64,10040,3.00
65,10044,2.00
66,10044,2.00
67,10044,0.00
68,10048,2.00
69,10048,1.00
70,10048,1.00
71,10048,0.00
72,10044,5.00
73,10044,1.00
74,10052,3.00
75,10052,0.00
76,10052,4.00
77,10052,3.00
78,10052,0.00
79,10052,3.00
80,10052,4.00
81,10092,3.00
82,10096,4.00
83,10096,0.00
84,10096,5.00
85,10096,4.00
86,10096,0.00
87,10096,1.00
88,10104,3.00
89,10108,4.00
90,10112,2.00
91,10112,1.00
92,10112,2.00
93,10112,2.00
94,10112,1.00
95,10108,3.00
96,10116,4.00
97,10116,1.00
98,10132,2.00
99,10140,2.00
100,10140,5.00
101,10140,1.00
102,10144,2.00
103,10148,0.00
104,10152,3.00
105,10152,2.00
106,10152,1.00
107,10156,2.00
108,10160,4.00
109,10156,2.00
110,10156,2.00
111,10156,1.00
112,10164,2.00
113,10164,5.00
114,10168,1.00
115,10168,4.00
116,10168,1.00
117,10168,3.00
118,10172,2.00
119,10172,0.00
120,10176,4.00
