second,rss_kb,cpu_pct
1,36672,1.00
2,36700,3.00
3,36700,0.00
4,36700,0.00
5,36700,0.00
6,36744,3.00
7,36744,0.00
8,36744,0.00
9,36744,1.00
10,36764,2.00
11,36764,0.00
12,36764,0.00
13,36764,0.00
14,36792,4.00
15,36820,1.00
16,36820,0.00
17,36820,0.00
18,36828,2.00
19,36836,1.00
20,36836,0.00
21,36836,0.00
22,36840,1.00
23,36848,2.00
24,36848,0.00
25,36848,0.00
26,36856,1.00
27,36900,3.00
28,36900,0.00
29,36900,0.00
30,36916,1.00
31,36940,3.00
32,36940,0.00
33,36940,0.00
34,36952,1.00
35,36976,3.00
36,36976,0.00
37,36976,0.00
38,36980,1.00
39,36988,2.00
40,36988,0.00
41,36988,0.00
42,36996,1.00
43,36996,0.00
44,37016,2.00
45,37016,0.00
46,37040,1.00
47,37040,0.00
48,37056,4.00
49,37056,0.00
50,37080,1.00
51,37080,0.00
52,37144,2.00
53,37144,0.00
54,37144,0.00
55,37148,0.00
56,37180,4.00
57,37180,0.00
58,37204,0.00
59,37204,0.00
60,37236,3.00
61,37236,0.00
62,37260,1.00
63,37260,0.00
64,37288,3.00
65,37288,0.00
66,37292,1.00
67,37300,0.00
68,37316,4.00
69,37316,0.00
70,37352,1.00
71,37352,0.00
72,37512,4.00
73,37512,0.00
74,37516,1.00
75,37516,0.00
76,37528,3.00
77,37528,0.00
78,37528,1.00
79,37528,0.00
80,37536,3.00
81,37536,0.00
82,37552,0.00
83,37552,0.00
84,37580,4.00
85,37580,0.00
86,37588,1.00
87,37588,0.00
88,37592,4.00
89,37592,0.00
90,37600,1.00
91,37600,0.00
92,37612,2.00
93,37612,0.00
94,37612,2.00
95,37612,0.00
96,37612,3.00
97,37612,0.00
98,37612,1.00
99,37612,0.00
100,37612,2.00
101,37612,0.00
102,37612,1.00
103,37612,0.00
104,37616,3.00
105,37616,0.00
106,37616,0.00
107,37616,0.00
108,37620,2.00
109,37620,0.00
110,37620,0.00
111,37620,0.00
112,37620,1.00
113,37628,2.00
114,37628,0.00
115,37632,0.00
116,37632,0.00
117,37640,3.00
118,37640,0.00
119,37640,2.00
120,37640,0.00
