second,rss_kb,cpu_pct
1,74284,10.00
2,74292,4.00
3,74292,3.00
4,74292,3.00
5,74296,4.00
6,74296,3.00
7,74296,2.00
8,74296,6.00
9,74308,8.00
10,73944,17.00
11,73972,6.00
12,73972,3.00
13,73972,3.00
14,73972,4.00
15,73976,1.00
16,73976,5.00
17,74152,12.00
18,74272,4.00
19,74356,13.00
20,74356,4.00
21,74392,3.00
22,74400,3.00
23,74400,3.00
24,74408,4.00
25,74556,14.00
26,74564,5.00
27,74564,3.00
28,74568,3.00
29,74584,4.00
30,74584,1.00
31,74588,4.00
32,74588,4.00
33,74592,6.00
34,74600,8.00
35,74600,3.00
36,74600,2.00
37,74600,5.00
38,74600,3.00
39,74600,3.00
40,74604,6.00
41,74616,5.00
42,74624,9.00
43,74624,3.00
44,74632,2.00
45,74652,5.00
46,74728,7.00
47,74764,3.00
48,74764,5.00
49,74800,6.00
50,75016,8.00
51,75032,2.00
52,75048,3.00
53,75048,3.00
54,75048,2.00
55,75048,3.00
56,75056,2.00
57,75056,4.00
58,75076,10.00
59,75076,4.00
60,75076,2.00
61,75076,4.00
62,75076,2.00
63,75076,4.00
64,75076,4.00
65,75076,2.00
66,75100,9.00
67,75116,7.00
68,75116,4.00
69,75116,3.00
70,75116,2.00
71,75116,4.00
72,75120,5.00
73,75120,3.00
74,75248,9.00
75,75260,10.00
76,73780,9.00
77,73784,4.00
78,73784,1.00
79,73784,3.00
80,73784,4.00
81,73792,3.00
82,73836,15.00
83,73584,4.00
84,72060,3.00
85,72060,2.00
86,72060,5.00
87,72064,2.00
88,72092,8.00
89,72096,3.00
90,72124,11.00
91,72156,4.00
92,72164,4.00
93,72188,7.00
94,72192,10.00
95,72192,4.00
96,72196,3.00
97,72204,3.00
98,72212,8.00
99,72336,9.00
100,72336,3.00
101,72356,3.00
102,72356,4.00
103,72356,2.00
104,72384,5.00
105,72404,3.00
106,72408,9.00
107,72408,4.00
108,72420,4.00
109,72420,3.00
110,72420,2.00
111,72420,2.00
112,72420,4.00
113,72420,2.00
114,72452,8.00
115,72452,2.00
116,72452,3.00
117,72452,4.00
118,72452,3.00
119,72452,3.00
120,72452,4.00
