second,rss_kb,cpu_pct
1,572264.0,29.0
2,572812.0,29.0
3,570764.0,22.0
4,571088.0,19.0
5,569704.0,20.0
6,570792.0,32.0
7,568648.0,19.0
8,568948.0,20.0
9,569468.0,33.0
10,555776.0,26.0
11,556208.0,24.0
12,556540.0,21.0
13,556684.0,17.0
14,564360.0,72.0
15,565040.0,27.0
16,565116.0,24.0
17,565144.0,23.0
18,565344.0,27.0
19,565492.0,27.0
20,565600.0,24.0
21,565784.0,23.0
22,565848.0,20.0
23,565616.0,19.0
24,565848.0,41.0
25,566036.0,33.0
26,565276.0,27.0
27,565316.0,36.0
28,565340.0,23.0
29,565504.0,32.0
30,565576.0,24.0
31,565576.0,22.0
32,565608.0,27.0
33,565648.0,20.0
34,565648.0,24.0
35,565664.0,30.0
36,565684.0,26.0
37,565748.0,23.0
38,565788.0,25.0
39,565792.0,19.0
40,565792.0,21.0
41,565980.0,21.0
42,566000.0,23.0
43,566004.0,28.0
44,566036.0,36.0
45,566056.0,26.0
46,566084.0,27.0
47,566088.0,22.0
48,566088.0,19.0
49,566112.0,22.0
50,566160.0,25.0
51,566196.0,22.0
52,566600.0,29.0
53,566608.0,28.0
54,566616.0,24.0
55,566696.0,26.0
56,566700.0,25.0
57,566724.0,26.0
58,566724.0,20.0
59,566748.0,23.0
60,566772.0,22.0
61,567004.0,35.0
62,567100.0,25.0
63,567168.0,26.0
64,567220.0,25.0
65,567220.0,22.0
66,567228.0,22.0
67,567236.0,22.0
68,567296.0,28.0
69,567312.0,30.0
70,567364.0,22.0
71,567376.0,24.0
72,567396.0,20.0
73,567396.0,24.0
74,567396.0,21.0
75,567396.0,25.0
76,567416.0,24.0
77,567432.0,29.0
78,567544.0,37.0
79,567572.0,29.0
80,567580.0,26.0
81,567700.0,26.0
82,567732.0,32.0
83,567772.0,24.0
84,567772.0,19.0
85,567820.0,26.0
86,568072.0,32.0
87,568080.0,22.0
88,568088.0,26.0
89,568104.0,21.0
90,568108.0,24.0
91,568108.0,21.0
92,568116.0,18.0
93,568124.0,21.0
94,568136.0,27.0
95,568204.0,35.0
96,568224.0,22.0
97,568336.0,33.0
98,568380.0,25.0
99,568380.0,18.0
100,568416.0,25.0
101,568616.0,33.0
102,568828.0,43.0
103,568848.0,26.0
104,568864.0,28.0
105,568836.0,21.0
106,568840.0,28.0
107,568856.0,22.0
108,568984.0,25.0
109,569052.0,24.0
110,569084.0,21.0
111,569104.0,25.0
112,569304.0,31.0
113,569352.0,23.0
114,569464.0,24.0
115,569528.0,24.0
116,569632.0,32.0
117,556860.0,45.0
118,556900.0,21.0
119,556908.0,25.0
120,556948.0,19.0
