second,rss_kb,cpu_pct
1,372256,42.00
2,372260,46.00
3,372264,47.00
4,372272,47.00
5,372284,45.00
6,372288,47.00
7,372288,50.00
8,372292,44.00
9,373124,81.00
10,373524,49.00
11,373524,34.00
12,373524,37.00
13,373484,44.00
14,373488,36.00
15,373496,45.00
16,373504,42.00
17,373724,47.00
18,373772,39.00
19,373776,37.00
20,373832,39.00
21,373832,74.00
22,373832,43.00
23,373860,41.00
24,373860,43.00
25,373876,46.00
26,373880,37.00
27,373880,42.00
28,373972,39.00
29,373972,41.00
30,373940,42.00
31,374644,44.00
32,374668,44.00
33,374428,43.00
34,374596,73.00
35,374600,45.00
36,374600,39.00
37,374632,36.00
38,374632,36.00
39,374648,38.00
40,374648,36.00
41,374656,39.00
42,374660,39.00
43,374660,36.00
44,374664,34.00
45,374668,40.00
46,374668,38.00
47,374684,43.00
48,376556,73.00
49,376900,43.00
50,376920,39.00
51,376924,34.00
52,376924,42.00
53,376924,38.00
54,376924,36.00
55,376928,33.00
56,376936,40.00
57,376940,37.00
58,376940,43.00
59,376952,36.00
60,376952,37.00
61,376952,38.00
62,377020,69.00
63,377020,35.00
64,377024,36.00
65,377024,39.00
66,377028,43.00
67,377060,36.00
68,377064,36.00
69,377064,34.00
70,377068,34.00
71,377068,46.00
72,377068,32.00
73,377068,42.00
74,377068,42.00
75,377072,35.00
76,377072,74.00
77,377072,38.00
78,377072,39.00
79,377072,40.00
80,377172,36.00
81,377176,42.00
82,377176,37.00
83,377180,41.00
84,377180,33.00
85,377188,35.00
86,377240,39.00
87,377244,36.00
88,377244,43.00
89,377244,41.00
90,377244,68.00
91,377244,35.00
92,377244,37.00
93,377244,33.00
94,377248,36.00
95,377248,42.00
96,377252,36.00
97,377252,35.00
98,377316,39.00
99,377316,36.00
100,377320,31.00
101,377320,42.00
102,377320,34.00
103,377320,38.00
104,377896,74.00
105,378040,40.00
106,378060,41.00
107,378060,36.00
108,378060,46.00
109,379224,45.00
110,379228,34.00
111,379236,37.00
112,379236,40.00
113,379236,45.00
114,379300,38.00
115,379300,36.00
116,379304,37.00
117,379304,43.00
118,379320,40.00
119,379328,78.00
120,379332,37.00
