second,rss_kb,cpu_pct
1,37940,0.00
2,37960,2.00
3,37960,0.00
4,37960,0.00
5,37960,0.00
6,37976,3.00
7,37976,0.00
8,37976,0.00
9,37976,0.00
10,38004,2.00
11,38004,0.00
12,38004,0.00
13,38004,0.00
14,38020,3.00
15,38020,0.00
16,38020,0.00
17,38024,1.00
18,38036,2.00
19,38036,0.00
20,38036,0.00
21,38040,2.00
22,38076,2.00
23,38076,0.00
24,38076,0.00
25,38088,1.00
26,38116,3.00
27,38116,0.00
28,38116,0.00
29,38124,1.00
30,38160,2.00
31,38160,0.00
32,38160,0.00
33,38192,3.00
34,38192,0.00
35,38192,0.00
36,38192,0.00
37,38216,3.00
38,38216,0.00
39,38216,0.00
40,38216,1.00
41,38216,2.00
42,38216,0.00
43,38216,0.00
44,38240,1.00
45,38240,2.00
46,38240,0.00
47,38240,0.00
48,38248,1.00
49,38260,2.00
50,38260,0.00
51,38260,0.00
52,38276,3.00
53,38276,0.00
54,38276,0.00
55,38276,1.00
56,38276,3.00
57,38276,0.00
58,38276,0.00
59,38276,0.00
60,38284,2.00
61,38284,0.00
62,38284,0.00
63,38284,0.00
64,38284,2.00
65,38284,0.00
66,38284,0.00
67,38284,2.00
68,38284,2.00
69,38284,0.00
70,38284,0.00
71,38284,1.00
72,38284,1.00
73,38284,0.00
74,38284,0.00
75,38284,1.00
76,38284,2.00
77,38284,0.00
78,38284,0.00
79,38284,1.00
80,38284,0.00
81,38288,3.00
82,38288,0.00
83,38288,0.00
84,38288,0.00
85,38288,2.00
86,38288,0.00
87,37680,1.00
88,37680,0.00
89,37680,2.00
90,37680,0.00
91,37684,1.00
92,37684,0.00
93,37684,1.00
94,37684,0.00
95,37684,2.00
96,37684,0.00
97,37684,0.00
98,37684,0.00
99,37684,1.00
100,37684,0.00
101,37688,2.00
102,37688,0.00
103,37688,1.00
104,37688,0.00
105,37688,2.00
106,37688,0.00
107,37688,1.00
108,37688,0.00
109,37688,1.00
110,37688,0.00
111,37688,1.00
112,37688,0.00
113,37688,1.00
114,37688,0.00
115,37688,2.00
116,37688,0.00
117,37688,1.00
118,37688,0.00
119,37688,1.00
120,37688,0.00
