second,rss_kb,cpu_pct
1,12072,77.00
2,12072,85.00
3,12068,81.00
4,12100,74.00
5,12076,76.00
6,12028,83.00
7,12100,79.00
8,12068,64.00
9,12028,79.00
10,12076,72.00
11,12028,74.00
12,12104,81.00
13,12052,70.00
14,12028,84.00
15,12028,60.00
16,12068,79.00
17,12028,76.00
18,12072,77.00
19,12028,74.00
20,12076,78.00
21,12096,78.00
22,12048,83.00
23,12044,82.00
24,12048,79.00
25,12048,75.00
26,12120,84.00
27,12096,82.00
28,12068,76.00
29,12076,85.00
30,12024,82.00
31,12028,72.00
32,12076,77.00
33,12068,78.00
34,12072,82.00
35,12028,79.00
36,12028,76.00
37,12028,80.00
38,12028,80.00
39,12028,77.00
40,12068,76.00
41,12072,84.00
42,12032,74.00
43,12080,85.00
44,12116,89.00
45,12080,81.00
46,12080,95.00
47,12072,78.00
48,12076,82.00
49,12084,79.00
50,12036,75.00
51,12084,89.00
52,12112,86.00
53,12084,75.00
54,12036,85.00
55,12084,79.00
56,12112,86.00
57,12084,84.00
58,12120,78.00
59,12092,62.00
60,12056,73.00
61,12056,73.00
62,12092,70.00
63,12120,75.00
64,12056,66.00
65,12056,76.00
66,12056,70.00
67,12108,72.00
68,12108,69.00
69,12072,69.00
70,12112,68.00
71,12108,74.00
72,12108,69.00
73,12052,72.00
74,12052,68.00
75,12048,69.00
76,12084,66.00
77,12084,73.00
78,12084,69.00
79,12112,68.00
80,12048,65.00
81,12084,74.00
82,12048,67.00
83,12096,69.00
84,12056,75.00
85,12056,75.00
86,12056,72.00
87,12096,71.00
88,12056,79.00
89,12056,70.00
90,12056,64.00
91,12056,77.00
92,12096,73.00
93,12056,75.00
94,12136,65.00
95,12076,75.00
96,12076,70.00
97,12108,72.00
98,12136,70.00
99,12136,75.00
100,12136,74.00
101,12076,70.00
102,12136,73.00
103,12076,69.00
104,12076,71.00
105,12108,75.00
106,12140,75.00
107,12072,73.00
108,12076,75.00
109,12076,76.00
110,12076,73.00
111,12076,75.00
112,12136,74.00
113,12108,77.00
114,12076,71.00
115,12128,78.00
116,12096,71.00
117,12092,71.00
118,12128,71.00
119,12096,74.00
120,12156,78.00
