second,rss_kb,cpu_pct
1,11700,81.00
2,11700,87.00
3,11768,86.00
4,11696,78.00
5,11704,79.00
6,11768,85.00
7,11704,87.00
8,11720,83.00
9,11748,81.00
10,11704,90.00
11,11756,74.00
12,11760,85.00
13,11724,89.00
14,11724,79.00
15,11772,74.00
16,11764,78.00
17,11772,88.00
18,11764,83.00
19,11772,79.00
20,11724,93.00
21,11724,84.00
22,11724,84.00
23,11724,83.00
24,11788,89.00
25,11720,86.00
26,11720,82.00
27,11724,83.00
28,11776,82.00
29,11776,85.00
30,11772,84.00
31,11724,84.00
32,11724,85.00
33,11780,87.00
34,11792,86.00
35,11728,84.00
36,11780,92.00
37,11728,84.00
38,11732,78.00
39,11776,76.00
40,11728,81.00
41,11740,87.00
42,11788,82.00
43,11784,75.00
44,11760,90.00
45,11736,85.00
46,11776,80.00
47,11736,86.00
48,11780,79.00
49,11788,90.00
50,11792,86.00
51,11740,83.00
52,11780,93.00
53,11808,80.00
54,11736,83.00
55,11788,89.00
56,11788,78.00
57,11788,89.00
58,11736,80.00
59,11780,74.00
60,11812,89.00
61,11780,76.00
62,11816,84.00
63,11780,82.00
64,11788,77.00
65,11756,86.00
66,11756,78.00
67,11756,71.00
68,11820,78.00
69,11796,72.00
70,11796,77.00
71,11808,76.00
72,11756,79.00
73,11796,76.00
74,11756,76.00
75,11808,83.00
76,11804,74.00
77,11804,79.00
78,11808,76.00
79,11808,78.00
80,11820,78.00
81,11776,76.00
82,11776,72.00
83,11828,75.00
84,11832,80.00
85,11780,79.00
86,11832,76.00
87,11832,75.00
88,11832,76.00
89,11780,73.00
90,11824,78.00
91,11784,76.00
92,11780,80.00
93,11820,79.00
94,11856,78.00
95,11796,72.00
96,11848,79.00
97,11832,78.00
98,11836,76.00
99,11800,80.00
100,11792,81.00
101,11792,72.00
102,11792,84.00
103,11788,71.00
104,11796,70.00
105,11852,84.00
106,11840,72.00
107,11824,81.00
108,11852,78.00
109,11796,78.00
110,11808,75.00
111,11800,77.00
112,11804,74.00
113,11856,80.00
114,11840,79.00
115,11808,76.00
116,11844,79.00
117,11808,81.00
118,11816,79.00
119,11816,63.00
120,11852,60.00
