second,rss_kb,cpu_pct
1,9232,17.00
2,9228,17.00
3,9228,17.00
4,9244,17.00
5,9244,18.00
6,9224,16.00
7,9236,13.00
8,9236,11.00
9,9236,13.00
10,9232,11.00
11,9236,12.00
12,9248,14.00
13,9256,11.00
14,9248,13.00
15,9248,13.00
16,9244,12.00
17,9224,10.00
18,9236,12.00
19,9236,12.00
20,9236,14.00
21,9236,12.00
22,9248,13.00
23,9228,14.00
24,9228,10.00
25,9232,15.00
26,9232,11.00
27,9220,12.00
28,9232,13.00
29,9232,14.00
30,9232,12.00
31,9220,12.00
32,9232,10.00
33,9232,13.00
34,9208,11.00
35,9228,11.00
36,9232,13.00
37,9232,13.00
38,9232,9.00
39,9236,12.00
40,9232,12.00
41,9236,11.00
42,9236,13.00
43,9236,13.00
44,9236,10.00
45,9232,15.00
46,9236,11.00
47,9232,13.00
48,9232,11.00
49,9232,13.00
50,9232,10.00
51,9248,14.00
52,9248,11.00
53,9260,15.00
54,9248,11.00
55,9248,15.00
56,9240,10.00
57,9240,11.00
58,9244,10.00
59,9248,12.00
60,9236,13.00
61,9236,10.00
62,9236,13.00
63,9236,10.00
64,9236,10.00
65,9232,14.00
66,9232,12.00
67,9248,11.00
68,9240,13.00
69,9244,11.00
70,9256,14.00
71,9232,9.00
72,9244,11.00
73,9232,10.00
74,9240,12.00
75,9236,16.00
76,9232,18.00
77,9248,16.00
78,9236,16.00
79,9220,17.00
80,9236,14.00
81,9236,17.00
82,9232,14.00
83,9256,18.00
84,9252,17.00
85,9256,14.00
86,9252,15.00
87,9232,14.00
88,9244,16.00
89,9244,16.00
90,9240,16.00
91,9260,17.00
92,9260,15.00
93,9256,14.00
94,9268,14.00
95,9248,14.00
96,9252,15.00
97,9240,17.00
98,9240,14.00
99,9252,15.00
100,9252,14.00
101,9240,17.00
102,9248,13.00
103,9240,14.00
104,9240,14.00
105,9240,14.00
106,9240,12.00
107,9252,17.00
108,9252,14.00
109,9252,17.00
110,9252,13.00
111,9244,15.00
112,9244,15.00
113,9240,13.00
114,9236,13.00
115,9244,15.00
116,9252,14.00
117,9244,15.00
118,9244,15.00
119,9244,14.00
120,9244,15.00
