second,rss_kb,cpu_pct
1,31700,9.00
2,31752,9.00
3,31808,13.00
4,31856,8.00
5,31896,9.00
6,31896,9.00
7,31936,8.00
8,31964,5.00
9,32040,9.00
10,32072,7.00
11,32108,6.00
12,32092,8.00
13,32108,6.00
14,32120,8.00
15,32124,6.00
16,32136,6.00
17,32144,6.00
18,32144,7.00
19,32144,7.00
20,32144,7.00
21,32144,7.00
22,32144,6.00
23,32152,8.00
24,32144,6.00
25,32160,8.00
26,32160,5.00
27,32160,6.00
28,32160,7.00
29,32160,7.00
30,32160,8.00
31,32160,6.00
32,32128,5.00
33,32144,5.00
34,32160,9.00
35,32220,5.00
36,32276,8.00
37,32288,6.00
38,32292,5.00
39,32288,7.00
40,32308,8.00
41,32332,8.00
42,32332,5.00
43,32336,7.00
44,32340,7.00
45,32348,7.00
46,32340,8.00
47,32368,7.00
48,32376,9.00
49,32380,6.00
50,32396,8.00
51,32380,5.00
52,32388,6.00
53,32400,7.00
54,32404,7.00
55,32412,7.00
56,32420,7.00
57,32404,7.00
58,32420,6.00
59,32420,6.00
60,32420,6.00
61,32420,7.00
62,32420,8.00
63,32420,8.00
64,32420,7.00
65,32404,5.00
66,32420,6.00
67,32420,7.00
68,32420,8.00
69,32412,7.00
70,32420,5.00
71,32420,8.00
72,32420,6.00
73,32420,5.00
74,32420,8.00
75,32420,11.00
76,32420,8.00
77,32420,9.00
78,32420,9.00
79,32404,9.00
80,32420,10.00
81,32420,10.00
82,32476,7.00
83,32480,9.00
84,32480,10.00
85,32480,9.00
86,32488,9.00
87,32488,9.00
88,32488,9.00
89,32496,8.00
90,32496,8.00
91,32496,10.00
92,32496,8.00
93,32496,8.00
94,32496,8.00
95,32508,8.00
96,32508,7.00
97,32508,9.00
98,32508,10.00
99,32508,7.00
100,32508,7.00
101,32508,10.00
102,32508,8.00
103,32508,8.00
104,32508,10.00
105,32508,8.00
106,32508,8.00
107,32508,8.00
108,32508,9.00
109,32508,9.00
110,32508,8.00
111,32508,8.00
112,32508,7.00
113,32508,10.00
114,32508,7.00
115,32492,8.00
116,32508,7.00
117,32508,8.00
118,32508,7.00
119,32508,9.00
120,32508,7.00
