second,rss_kb,cpu_pct
1,415628,4.00
2,415632,6.00
3,415632,3.00
4,415632,4.00
5,415632,3.00
6,415632,2.00
7,415632,4.00
8,415632,5.00
9,415632,5.00
10,415632,2.00
11,415632,3.00
12,415632,4.00
13,415632,3.00
14,415632,4.00
15,415632,3.00
16,415632,3.00
17,415708,3.00
18,415696,4.00
19,415700,4.00
20,415704,3.00
21,415704,3.00
22,415704,3.00
23,415704,4.00
24,415704,2.00
25,415704,4.00
26,415716,6.00
27,415716,4.00
28,415716,4.00
29,415720,3.00
30,415720,3.00
31,415732,5.00
32,415732,4.00
33,415732,2.00
34,415732,3.00
35,415736,3.00
36,415736,3.00
37,415736,4.00
38,415740,4.00
39,415740,4.00
40,415748,3.00
41,415752,3.00
42,415752,3.00
43,415756,3.00
44,415760,3.00
45,415760,4.00
46,415760,2.00
47,415772,4.00
48,415780,4.00
49,415784,3.00
50,417840,4.00
51,417844,3.00
52,417852,3.00
53,417856,3.00
54,417856,4.00
55,417856,3.00
56,417860,3.00
57,417868,5.00
58,419936,4.00
59,419936,4.00
60,419956,5.00
61,419960,4.00
62,422012,3.00
63,422016,3.00
64,422020,3.00
65,422028,3.00
66,422032,3.00
67,422032,3.00
68,422040,4.00
69,424104,3.00
70,424104,3.00
71,424108,3.00
72,424112,3.00
73,424120,3.00
74,424124,2.00
75,424124,3.00
76,426244,8.00
77,428312,3.00
78,428320,3.00
79,428596,3.00
80,428596,4.00
81,430672,3.00
82,430676,4.00
83,430680,2.00
84,430684,4.00
85,430688,3.00
86,432728,13.00
87,432560,4.00
88,432560,4.00
89,432568,4.00
90,432568,3.00
91,432568,3.00
92,432572,3.00
93,432572,3.00
94,432572,3.00
95,432572,2.00
96,432576,4.00
97,432576,4.00
98,432576,3.00
99,432576,3.00
100,432576,3.00
101,432576,2.00
102,432576,4.00
103,432576,3.00
104,432576,3.00
105,432580,4.00
106,432580,3.00
107,432580,3.00
108,432584,4.00
109,432584,3.00
110,432584,2.00
111,432584,3.00
112,432584,3.00
113,432584,4.00
114,432584,3.00
115,432584,4.00
116,432584,4.00
117,432584,4.00
118,432588,3.00
119,432588,4.00
120,432588,3.00
