second,rss_kb,cpu_pct
1,90252,1.00
2,90252,1.00
3,90252,2.00
4,90252,0.00
5,90256,1.00
6,90256,1.00
7,90264,5.00
8,92556,14.00
9,92568,0.00
10,92568,0.00
11,92576,1.00
12,92580,1.00
13,92692,0.00
14,92720,1.00
15,92720,0.00
16,92724,1.00
17,92724,0.00
18,92724,1.00
19,92724,0.00
20,92724,0.00
21,92732,0.00
22,87760,3.00
23,87760,1.00
24,87760,1.00
25,87760,0.00
26,87764,0.00
27,87764,0.00
28,87764,1.00
29,87764,1.00
30,87764,0.00
31,87772,0.00
32,87772,1.00
33,87776,0.00
34,87776,0.00
35,87776,1.00
36,87776,1.00
37,87776,0.00
